CITROEN,C4,5650,2 génération,Hatchback,2012,09/06/2020,DIESEL,119304,MANUEL,60386,-1,92
CITROEN,C4,8980,2 génération,Hatchback,2016,09/06/2020,DIESEL,135788,AUTOMATIQUE,01328,-1,120
CITROEN,C4,1750,1 génération [restyling],Hatchback,2008,09/06/2020,ESSENCE,232278,MANUEL,2931,-1,109
CITROEN,C4,2800,1 génération [restyling],Hatchback,2009,09/06/2020,ESSENCE,199000,MANUEL,46980,-1,120
CITROEN,C4,5290,1 génération [restyling],Hatchback,2011,09/06/2020,DIESEL,150000,MANUEL,00121,-1,90
CITROEN,C4,5300,1 génération [restyling],Hatchback,2010,09/06/2020,DIESEL,164900,MANUEL,41710,-1,110
CITROEN,C4,5400,1 génération [restyling],Hatchback,2011,09/06/2020,DIESEL,115000,AUTOMATIQUE,00155,-1,110
CITROEN,C4,5890,2 génération,Hatchback,2012,09/06/2020,ESSENCE,120500,MANUEL,01328,-1,120
CITROEN,C4,6790,1 génération [restyling],Hatchback,2010,09/06/2020,DIESEL,78952,MANUEL,64230,-1,90
CITROEN,C4,6900,1 génération [restyling],Hatchback,2011,09/06/2020,ESSENCE,104000,MANUEL,01003,-1,90
CITROEN,C4,7990,1 génération [restyling],Hatchback,2014,09/06/2020,DIESEL,92000,MANUEL,7000,-1,90
CITROEN,C4,8499,2 génération,Hatchback,2015,09/06/2020,ESSENCE,38000,AUTOMATIQUE,34120,-1,120
CITROEN,C4,8890,2 génération,Hatchback,2012,09/06/2020,DIESEL,71378,AUTOMATIQUE,30161,-1,116
CITROEN,C4,8900,2 génération,Hatchback,2015,09/06/2020,DIESEL,123000,AUTOMATIQUE,03110,-1,116
CITROEN,C4,8995,2 génération,Hatchback,2016,09/06/2020,ESSENCE,76000,MANUEL,4837,-1,110
CITROEN,C4,9890,2 génération,Hatchback,2017,09/06/2020,DIESEL,65666,MANUEL,16430,-1,95
CITROEN,C4,5650,2 génération,Hatchback,2012,09/06/2020,DIESEL,119304,MANUEL,60386,-1,92
CITROEN,C4,8980,2 génération,Hatchback,2016,09/06/2020,DIESEL,135788,AUTOMATIQUE,01328,-1,120
CITROEN,C4,1750,1 génération [restyling],Hatchback,2008,09/06/2020,ESSENCE,232278,MANUEL,2931,-1,109
CITROEN,C4,2800,1 génération [restyling],Hatchback,2009,09/06/2020,ESSENCE,199000,MANUEL,46980,-1,120
CITROEN,C4,5290,1 génération [restyling],Hatchback,2011,09/06/2020,DIESEL,150000,MANUEL,00121,-1,90
CITROEN,C4,5300,1 génération [restyling],Hatchback,2010,09/06/2020,DIESEL,164900,MANUEL,41710,-1,110
CITROEN,C4,5400,1 génération [restyling],Hatchback,2011,09/06/2020,DIESEL,115000,AUTOMATIQUE,00155,-1,110
CITROEN,C4,5890,2 génération,Hatchback,2012,09/06/2020,ESSENCE,120500,MANUEL,01328,-1,120
CITROEN,C4,6790,1 génération [restyling],Hatchback,2010,09/06/2020,DIESEL,78952,MANUEL,64230,-1,90
CITROEN,C4,6900,1 génération [restyling],Hatchback,2011,09/06/2020,ESSENCE,104000,MANUEL,01003,-1,90
CITROEN,C4,7990,1 génération [restyling],Hatchback,2014,09/06/2020,DIESEL,92000,MANUEL,7000,-1,90
CITROEN,C4,8499,2 génération,Hatchback,2015,09/06/2020,ESSENCE,38000,AUTOMATIQUE,34120,-1,120
CITROEN,C4,8890,2 génération,Hatchback,2012,09/06/2020,DIESEL,71378,AUTOMATIQUE,30161,-1,116
CITROEN,C4,8900,2 génération,Hatchback,2015,09/06/2020,DIESEL,123000,AUTOMATIQUE,03110,-1,116
CITROEN,C4,8995,2 génération,Hatchback,2016,09/06/2020,ESSENCE,76000,MANUEL,4837,-1,110
CITROEN,C4,9890,2 génération,Hatchback,2017,09/06/2020,DIESEL,65666,MANUEL,16430,-1,95
CITROEN,C4,1600,1 génération [restyling],Hatchback,2008,09/06/2020,DIESEL,203000,MANUEL,01157,-1,90
